id,name,status,updated_date,species,frames_with_fish,number_of_tracks,time_of_day,train_set
541414,3_2015-05-01_17-31-01.mp4,completed,2024-11-06T15:17:50.240866Z,Perch,36,1,day,test
541416,3_2015-05-02_03-15-45.mp4,completed,2024-11-13T18:58:44.696861Z,Eel,13,1,night,train
541417,3_2015-05-02_11-32-29.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,33,1,day,train
541418,3_2015-05-03_01-36-00.mp4,completed,2024-11-13T19:03:48.905122Z,Unknown Fish,63,1,night,train
541419,3_2015-05-03_15-48-02.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,69,1,day,train
541420,3_2015-05-03_16-13-51.mp4,annotation,2024-11-15T20:48:45.422732Z,River Herring,98,0,day,val
541423,3_2015-05-03_16-25-09.mp4,completed,2024-11-13T18:56:55.961148Z,River Herring,50,2,day,train
541459,3_2015-05-03_16-26-57.mp4,completed,2024-11-06T15:17:50.240866Z,Perch,39,1,day,train
541460,3_2015-05-03_17-03-56.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,20,1,day,train
541461,3_2015-05-03_18-48-13.mp4,completed,2024-11-15T20:59:21.825428Z,River Herring,69,6,day,train
541462,3_2015-05-03_18-54-33.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,46,2,day,train
541463,3_2015-05-03_19-49-37.mp4,completed,2024-11-08T02:45:05.108234Z,Perch,56,1,night,train
541464,3_2015-05-04_00-09-30.mp4,completed,2024-11-19T04:22:39.159179Z,"Eel, Lamprey",63,2,night,train
541465,3_2015-05-04_04-11-42.mp4,completed,2024-11-19T04:22:02.703729Z,Lamprey,187,1,night,train
541467,3_2015-05-04_06-20-57.mp4,completed,2024-11-06T15:17:50.240866Z,Sunfish,101,1,day,train
541469,3_2015-05-04_09-57-35.mp4,completed,2024-11-08T02:40:00.605824Z,Perch,73,1,day,val
541470,3_2015-05-04_09-57-52.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,13,1,day,train
541490,3_2015-05-04_11-38-06.mp4,completed,2024-11-13T19:10:13.925165Z,River Herring,89,1,day,train
541491,3_2015-05-04_13-44-07.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,28,1,day,train
541492,3_2015-05-04_14-59-38.mp4,completed,2024-11-08T02:35:28.714981Z,Perch,39,2,day,train
541493,3_2015-05-04_16-52-37.mp4,completed,2024-11-06T15:17:50.240866Z,Perch,87,3,day,train
541494,3_2015-05-04_17-21-38.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,18,1,day,train
541495,3_2015-05-04_17-34-14.mp4,completed,2024-11-08T03:56:49.160962Z,Perch,54,3,day,test
541496,3_2015-05-04_18-35-15.mp4,completed,2024-11-08T03:14:50.988052Z,"Perch, Unknown Fish",248,3,day,train
541497,3_2015-05-04_19-29-40.mp4,completed,2024-11-08T02:50:53.149808Z,River Herring,56,3,night,test
541499,3_2015-05-04_20-06-21.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,24,1,night,test
541502,3_2015-05-04_21-30-38.mp4,completed,2024-11-06T15:17:50.240866Z,Eel,76,4,night,train
541504,3_2015-05-05_04-01-57.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,25,1,night,train
541505,3_2015-05-05_04-57-22.mp4,completed,2024-11-14T21:08:37.266943Z,Unknown Fish,41,3,night,train
541506,3_2015-05-05_08-53-12.mp4,completed,2024-11-13T19:28:55.686760Z,Perch,142,3,day,test
541507,3_2015-05-05_09-50-02.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,99,2,day,train
541508,3_2015-05-05_11-48-12.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,26,1,day,test
541510,3_2015-05-05_12-12-05.mp4,completed,2024-11-13T19:16:47.106576Z,River Herring,81,1,day,test
541511,3_2015-05-05_15-07-03.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,13,1,day,test
541512,3_2015-05-05_16-08-01.mp4,completed,2024-11-13T19:20:38.268344Z,Lamprey,52,1,day,train
541513,3_2015-05-05_16-08-34.mp4,completed,2024-11-06T15:17:50.240866Z,Eel,119,3,day,train
541514,3_2015-05-05_16-11-22.mp4,completed,2024-11-06T15:17:50.240866Z,Eel,88,2,day,train
541516,3_2015-05-05_16-59-19.mp4,completed,2024-11-13T19:50:24.116735Z,Perch,192,10,day,train
541517,3_2015-05-05_17-53-59.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,21,1,day,train
541521,3_2015-05-05_20-08-50.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,46,3,night,test
541523,3_2015-05-06_00-10-14.mp4,completed,2024-11-06T15:17:50.240866Z,Unknown Fish,52,1,night,val
541526,3_2015-05-06_08-16-28.mp4,completed,2024-11-13T19:36:45.991493Z,River Herring,53,3,day,train
541527,3_2015-05-06_09-43-52.mp4,completed,2024-11-14T03:24:51.922092Z,River Herring,18,1,day,test
541528,3_2015-05-06_09-55-45.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,217,2,day,train
541529,3_2015-05-06_16-31-36.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,22,1,day,val
541530,3_2015-05-06_16-42-00.mp4,completed,2024-11-14T02:54:05.400827Z,River Herring,31,1,day,val
541531,3_2015-05-06_16-51-59.mp4,completed,2024-11-06T15:17:50.240866Z,Perch,60,1,day,train
541532,3_2015-05-06_16-54-29.mp4,completed,2024-11-14T03:02:35.345543Z,River Herring,76,2,day,train
541533,3_2015-05-06_17-05-41.mp4,completed,2024-11-06T15:17:50.240866Z,Perch,21,1,day,train
541536,3_2015-05-06_17-52-41.mp4,completed,2024-11-14T03:15:45.785460Z,River Herring,50,4,day,train
541542,3_2015-05-06_21-08-40.mp4,completed,2024-11-14T03:28:08.612891Z,Lamprey,58,1,night,train
541549,3_2015-05-07_02-06-18.mp4,completed,2024-11-06T15:17:50.240866Z,Eel,57,1,night,train
541553,3_2015-05-07_04-16-03.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,47,1,night,train
541555,3_2015-05-07_05-52-13.mp4,completed,2024-11-14T03:41:44.707641Z,River Herring,54,5,dawn,train
541556,3_2015-05-07_06-06-44.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,37,2,day,train
541557,3_2015-05-07_06-44-52.mp4,completed,2024-11-15T02:45:27.136179Z,River Herring,68,1,day,train
541558,3_2015-05-07_10-29-24.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,30,1,day,val
541559,3_2015-05-07_16-23-47.mp4,completed,2024-11-15T02:26:36.417820Z,River Herring,92,5,day,val
541561,3_2015-05-07_16-25-48.mp4,completed,2024-11-14T21:07:31.580952Z,River Herring,47,2,day,train
541563,3_2015-05-07_16-26-09.mp4,completed,2024-11-14T03:33:11.253397Z,Lamprey,68,2,day,val
541564,3_2015-05-07_16-27-53.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,64,3,day,val
541565,3_2015-05-07_16-41-20.mp4,completed,2024-11-06T15:17:50.240866Z,"Eel, River Herring",102,2,day,train
541567,3_2015-05-07_16-42-08.mp4,completed,2024-11-06T15:17:50.240866Z,Eel,70,2,day,train
541568,3_2015-05-07_16-52-55.mp4,completed,2024-11-15T03:11:36.207868Z,Perch,127,3,day,train
541569,3_2015-05-07_16-54-20.mp4,completed,2024-11-15T03:18:45.894373Z,Eel,75,2,day,train
541661,3_2015-05-04_10-47-41.mp4,completed,2024-11-15T02:52:32.474658Z,River Herring,34,2,day,val
541662,3_2015-05-07_17-02-27.mp4,completed,2024-11-15T02:58:59.344458Z,River Herring,41,1,day,train
541665,3_2015-05-07_17-15-14.mp4,completed,2024-11-15T03:02:59.912730Z,River Herring,25,1,day,train
541666,3_2015-05-07_20-04-54.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,63,5,night,train
541670,3_2015-05-07_21-33-14.mp4,completed,2024-11-06T15:17:50.240866Z,Unknown Fish,49,1,night,train
541672,3_2015-05-08_05-53-28.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,51,3,dawn,train
541674,3_2015-05-08_10-04-00.mp4,completed,2024-11-14T03:52:14.921873Z,River Herring,54,3,day,val
541675,3_2015-05-08_13-04-11.mp4,completed,2024-11-15T02:00:18.283895Z,River Herring,47,2,day,train
541676,3_2015-05-08_13-31-05.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,34,1,day,train
541678,3_2015-05-08_13-41-59.mp4,completed,2024-11-15T03:22:13.942405Z,River Herring,35,1,day,train
541679,3_2015-05-08_15-22-40.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,42,2,day,val
541680,3_2015-05-08_17-16-12.mp4,completed,2024-11-15T03:28:10.880678Z,River Herring,67,2,day,train
541682,3_2015-05-08_17-48-47.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,82,2,day,train
541683,3_2015-05-08_17-51-39.mp4,completed,2024-11-18T14:42:33.952920Z,River Herring,51,3,day,train
541687,3_2015-05-09_23-24-03.mp4,completed,2024-11-18T14:34:42.747468Z,Unknown Fish,14,1,night,train
541694,3_2015-05-10_12-57-30.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,26,1,day,train
541695,3_2015-05-10_13-11-35.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,33,2,day,train
541696,3_2015-05-10_13-16-00.mp4,completed,2024-11-18T14:32:24.146449Z,River Herring,81,2,day,train
541697,3_2015-05-10_13-30-44.mp4,completed,2024-11-09T03:45:14.315675Z,River Herring,51,1,day,train
541698,3_2015-05-10_13-31-21.mp4,completed,2024-11-14T21:02:07.125614Z,River Herring,47,2,day,train
541699,3_2015-05-10_13-44-16.mp4,completed,2024-11-09T03:51:47.811200Z,River Herring,47,2,day,train
541701,3_2015-05-10_14-19-31.mp4,completed,2024-11-17T02:44:12.119153Z,River Herring,80,3,day,test
541703,3_2015-05-10_14-43-27.mp4,completed,2024-11-09T03:40:40.400937Z,River Herring,44,3,day,test
541705,3_2015-05-10_16-57-53.mp4,annotation,2024-11-09T03:32:01.706966Z,Lamprey,115,1,day,train
541708,3_2015-05-10_17-24-07.mp4,completed,2024-11-09T03:25:43.387833Z,Eel,19,1,day,train
541709,3_2015-05-10_17-24-25.mp4,completed,2024-11-06T15:17:50.240866Z,Eel,14,1,day,train
541712,3_2015-05-10_17-47-35.mp4,completed,2024-11-06T15:17:50.240866Z,Eel,33,1,day,val
541714,3_2015-05-10_17-48-41.mp4,completed,2024-11-06T15:17:50.240866Z,Eel,47,1,day,train
541715,3_2015-05-10_18-02-40.mp4,completed,2024-11-09T03:23:11.143609Z,Eel,16,1,day,train
541722,3_2015-05-10_22-22-35.mp4,completed,2024-11-06T15:17:50.240866Z,Lamprey,88,1,night,train
541730,3_2015-05-11_16-11-02.mp4,completed,2024-11-09T03:21:56.317249Z,River Herring,16,2,day,train
541731,3_2015-05-11_18-41-49.mp4,completed,2024-11-14T20:55:27.037063Z,River Herring,52,2,day,train
541734,3_2015-05-11_19-03-18.mp4,completed,2024-11-17T02:09:20.911985Z,River Herring,56,3,day,val
541737,3_2015-05-11_19-07-57.mp4,completed,2024-11-17T01:47:39.497864Z,River Herring,44,1,day,train
541741,3_2015-05-12_00-42-31.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,144,1,night,train
541745,3_2015-05-12_05-50-58.mp4,completed,2024-11-09T03:05:33.444460Z,River Herring,55,3,dawn,train
541747,3_2015-05-12_05-54-49.mp4,completed,2024-11-09T03:17:49.726560Z,River Herring,36,2,dawn,train
541748,3_2015-05-12_13-28-49.mp4,completed,2024-11-09T02:56:24.418313Z,River Herring,33,1,day,train
541749,3_2015-05-12_14-52-01.mp4,completed,2024-11-09T02:52:46.821737Z,River Herring,45,4,day,train
541758,3_2015-05-17_07-46-41.mp4,completed,2024-11-14T15:05:34.723515Z,River Herring,61,3,day,train
541943,3_2015-05-18_12-52-15.mp4,completed,2024-11-09T02:39:47.029821Z,Bass,136,1,day,train
541945,3_2015-05-18_17-21-04.mp4,completed,2024-11-09T02:43:26.516543Z,Perch,45,1,day,train
541947,3_2015-05-18_22-33-39.mp4,completed,2024-11-06T15:17:50.240866Z,Unknown Fish,20,1,night,train
541950,3_2015-05-19_06-58-59.mp4,completed,2024-11-06T15:17:50.240866Z,Unknown Fish,31,1,day,val
541951,3_2015-05-19_09-54-20.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,20,1,day,test
541971,3_2015-05-20_01-40-06.mp4,completed,2024-11-06T15:17:50.240866Z,Unknown Fish,19,1,night,train
541973,3_2015-05-20_01-57-25.mp4,completed,2024-11-06T15:17:50.240866Z,Unknown Fish,14,1,night,train
541976,3_2015-05-20_10-39-50.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,16,1,day,train
541977,3_2015-05-20_20-25-30.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,31,2,night,train
542008,3_2015-05-22_20-23-53.mp4,completed,2024-11-06T15:17:50.240866Z,Unknown Fish,33,2,night,val
542011,3_2015-05-22_21-13-40.mp4,completed,2024-11-06T15:17:50.240866Z,Unknown Fish,18,1,night,train
542015,3_2015-05-22_22-32-05.mp4,completed,2024-11-06T15:17:50.240866Z,Unknown Fish,19,1,night,train
542024,3_2015-05-23_03-54-20.mp4,completed,2024-11-06T15:17:50.240866Z,Unknown Fish,16,1,night,train
542025,3_2015-05-23_18-00-22.mp4,completed,2024-11-15T15:58:14.627169Z,Bass,28,1,day,train
542029,3_2015-05-23_20-37-40.mp4,completed,2024-11-06T15:17:50.240866Z,Unknown Fish,30,2,night,train
542031,3_2015-05-23_20-45-46.mp4,completed,2024-11-06T15:17:50.240866Z,Unknown Fish,16,1,night,train
542035,3_2015-05-23_22-23-47.mp4,completed,2024-11-06T15:17:50.240866Z,Unknown Fish,71,3,night,train
542036,3_2015-05-23_23-34-00.mp4,completed,2024-11-06T15:17:50.240866Z,Unknown Fish,25,1,night,train
542121,3_2015-05-26_00-39-42.mp4,completed,2024-11-08T02:23:04.730099Z,Unknown Fish,17,1,night,train
542128,3_2015-05-26_01-52-24.mp4,completed,2024-11-06T15:17:50.240866Z,Unknown Fish,7,1,night,train
542150,3_2015-05-31_18-45-47.mp4,completed,2024-11-08T02:20:41.635374Z,Bass,180,1,day,train
542210,3_2015-06-08_13-09-39.mp4,completed,2024-11-06T15:17:50.240866Z,Bass,93,1,day,train
542226,3_2015-06-10_17-30-35.mp4,completed,2024-11-06T15:17:50.240866Z,Trout,97,1,day,test
542229,3_2015-06-10_18-45-48.mp4,completed,2024-11-06T15:17:50.240866Z,Sunfish,194,1,day,train
542240,3_2015-06-10_21-01-57.mp4,completed,2024-11-06T15:17:50.240866Z,Unknown Fish,9,1,night,train
542244,3_2015-06-10_22-31-51.mp4,completed,2024-11-06T15:17:50.240866Z,Unknown Fish,47,1,night,test
542258,3_2015-06-11_02-43-29.mp4,completed,2024-11-06T15:17:50.240866Z,Unknown Fish,52,3,night,train
544438,3_2015-05-25_01-44-13.mp4,completed,2024-11-06T15:17:50.240866Z,Unknown Fish,37,2,night,train
544584,3_2015-05-07_17-01-35.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,16,1,day,train
544593,3_2015-05-25_21-44-32.mp4,completed,2024-11-06T15:17:50.240866Z,Unknown Fish,21,1,night,val
544597,3_2015-06-05_04-09-43.mp4,completed,2024-11-06T15:17:50.240866Z,Unknown Fish,21,1,night,test
544599,3_2015-06-07_21-03-31.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,32,1,night,train
544606,3_2015-06-11_04-10-43.mp4,completed,2024-11-06T15:17:50.240866Z,Unknown Fish,32,2,night,train
544986,1_2016-04-13_13-57-11.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,61,1,day,train
544987,1_2016-04-13_14-31-23.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,25,1,day,train
544988,1_2016-04-13_18-03-24.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,16,1,day,train
544991,1_2016-04-13_19-00-23.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,32,1,night,train
544992,1_2016-04-13_19-22-43.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,12,1,night,train
544993,1_2016-04-14_12-01-34.mp4,completed,2024-11-06T15:17:50.240866Z,"Unknown Fish, River Herring",160,5,day,train
544994,1_2016-04-14_18-41-56.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,20,1,day,train
544995,1_2016-04-14_19-12-50.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,25,1,night,train
544996,1_2016-04-14_19-23-05.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,24,1,night,train
544997,1_2016-04-15_13-45-56.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,29,1,day,train
544998,1_2016-04-15_14-36-04.mp4,completed,2024-11-14T15:09:55.096095Z,River Herring,17,1,day,train
544999,1_2016-04-22_06-32-33.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,64,2,day,train
545000,1_2016-04-22_06-44-46.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,67,5,day,train
545004,1_2016-04-22_10-49-39.mp4,completed,2024-11-06T15:17:50.240866Z,"Bass, River Herring",26,2,day,train
545007,1_2016-04-22_12-33-05.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,12,1,day,train
545009,1_2016-04-22_12-36-58.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,34,2,day,train
545012,1_2016-04-22_17-03-15.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,26,4,day,train
545016,1_2016-04-23_16-06-05.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,194,5,day,train
545018,1_2016-04-23_16-35-10.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,79,5,day,train
545019,1_2016-04-23_17-26-14.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,61,2,day,val
545021,1_2016-04-24_16-06-53.mp4,completed,2024-11-15T16:37:03.787737Z,River Herring,29,1,day,train
545022,1_2016-04-24_16-20-06.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,60,2,day,train
545024,1_2016-04-24_18-29-56.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,21,1,day,train
545025,1_2016-04-30_11-50-35.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,20,1,day,train
545027,1_2016-05-07_06-36-18.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,28,1,day,train
545030,1_2016-05-07_08-58-47.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,47,4,day,train
545037,1_2016-05-07_15-36-37.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,43,4,day,train
545040,1_2016-05-07_18-17-55.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,36,3,day,train
545041,1_2016-05-07_18-36-13.mp4,completed,2024-11-15T16:56:19.002996Z,River Herring,60,5,day,train
545042,1_2016-05-07_18-37-39.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,29,2,day,test
545044,1_2016-05-07_19-26-43.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,23,1,night,train
545047,1_2016-05-08_18-12-03.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,53,3,day,test
545050,1_2016-05-09_12-31-06.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,23,1,day,test
545053,1_2016-05-09_18-59-02.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,19,1,day,train
545056,1_2016-05-10_19-52-30.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,40,4,night,train
545057,1_2016-05-10_19-53-35.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,106,13,night,train
545058,1_2016-05-10_19-54-35.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,64,10,night,train
545062,1_2016-05-10_20-09-24.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,29,1,night,train
545064,1_2016-05-11_19-08-22.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,12,1,day,train
545069,1_2016-05-11_19-49-58.mp4,completed,2024-11-08T20:40:27.011312Z,River Herring,27,3,night,train
545070,1_2016-05-11_19-56-15.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,22,1,night,train
545080,1_2016-05-13_12-34-57.mp4,completed,2024-11-08T20:36:56.503198Z,River Herring,21,1,day,train
545081,1_2016-05-13_15-34-47.mp4,completed,2024-11-08T20:34:57.832779Z,River Herring,69,8,day,train
545084,1_2016-05-14_06-44-01.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,49,2,day,train
545087,1_2016-05-14_12-54-01.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,49,2,day,train
545090,1_2016-05-15_12-21-38.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,19,1,day,val
545091,1_2016-05-15_13-36-10.mp4,completed,2024-11-15T16:33:34.208193Z,"Eel, River Herring",146,3,day,train
545092,1_2016-05-16_00-01-01.mp4,completed,2024-11-06T17:41:39.052522Z,River Herring,48,1,night,train
545094,1_2016-05-16_17-23-09.mp4,completed,2024-11-08T20:20:41.625692Z,River Herring,37,1,day,train
545002,1_2016-04-22_06-49-46.mp4,completed,2024-12-03T20:12:42.863705Z,River Herring,63,5,day,train
545010,1_2016-04-22_16-50-00.mp4,completed,2024-11-21T19:27:35.396779Z,River Herring,57,3,day,train
545011,1_2016-04-22_16-51-12.mp4,completed,2024-11-21T19:18:20.127683Z,River Herring,58,4,day,val
545015,1_2016-04-23_11-10-34.mp4,completed,2024-12-04T19:43:22.315560Z,River Herring,55,3,day,train
545020,1_2016-04-24_15-38-03.mp4,completed,2024-12-15T05:01:28.853591Z,River Herring,54,3,day,train
545026,1_2016-05-07_05-38-22.mp4,completed,2024-12-05T01:55:01.535277Z,River Herring,29,1,dawn,train
545028,1_2016-05-07_07-40-05.mp4,completed,2024-12-04T19:53:02.632330Z,"Trout, River Herring",158,3,day,train
545031,1_2016-05-07_11-21-59.mp4,completed,2024-11-21T19:41:33.577120Z,River Herring,39,0,day,train
545032,1_2016-05-07_11-40-54.mp4,completed,2024-11-21T19:36:02.055864Z,River Herring,44,0,day,test
545033,1_2016-05-07_12-50-32.mp4,completed,2024-11-21T19:45:40.625654Z,River Herring,45,0,day,train
545045,1_2016-05-08_17-33-51.mp4,completed,2024-12-04T19:34:43.693357Z,River Herring,30,1,day,val
545048,1_2016-05-09_11-55-41.mp4,completed,2024-12-06T14:48:08.217123Z,River Herring,44,4,day,train
545071,1_2016-05-12_05-52-59.mp4,completed,2024-12-03T19:55:20.191264Z,River Herring,35,3,dawn,train
545072,1_2016-05-12_11-42-53.mp4,completed,2024-12-15T05:37:38.025722Z,River Herring,55,1,day,test
545073,1_2016-05-12_18-09-43.mp4,completed,2024-12-14T06:36:28.018748Z,River Herring,36,1,day,train
545074,1_2016-05-12_18-22-22.mp4,completed,2024-12-06T14:39:12.002800Z,River Herring,94,6,day,train
545075,1_2016-05-12_18-26-11.mp4,completed,2024-12-03T16:21:19.423826Z,River Herring,40,5,day,test
545083,1_2016-05-13_19-37-07.mp4,completed,2024-12-04T18:17:58.497905Z,River Herring,64,4,night,train
545140,2_2017-04-11_12-02-21.mp4,completed,2024-11-08T20:14:44.599625Z,River Herring,59,2,day,train
545141,2_2017-04-11_12-25-28.mp4,completed,2024-11-08T20:12:16.230608Z,River Herring,39,1,day,train
545143,2_2017-04-13_11-30-21.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,46,1,day,train
545146,2_2017-04-13_11-48-40.mp4,completed,2024-11-06T19:27:20.468058Z,River Herring,54,1,day,train
545147,2_2017-04-13_12-26-28.mp4,completed,2024-11-06T17:40:37.959530Z,River Herring,96,2,day,val
545149,2_2017-04-13_13-10-00.mp4,completed,2024-11-06T17:37:32.747534Z,River Herring,27,1,day,train
545150,2_2017-04-13_13-23-24.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,18,1,day,val
545152,2_2017-04-13_13-39-06.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,14,1,day,train
545155,2_2017-04-13_14-58-23.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,41,1,day,train
545157,2_2017-04-13_18-41-12.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,55,2,day,train
545158,2_2017-04-13_18-45-59.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,31,1,day,train
545160,2_2017-04-14_18-48-50.mp4,completed,2024-11-06T15:17:50.240866Z,Perch,52,1,day,train
545161,2_2017-04-15_11-00-06.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,45,1,day,train
545162,2_2017-04-15_11-23-36.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,9,1,day,train
545163,2_2017-04-15_12-04-31.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,55,2,day,train
545165,2_2017-04-16_15-18-09.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,30,1,day,train
545166,2_2017-04-16_15-30-08.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,20,1,day,train
545167,2_2017-04-16_22-29-27.mp4,completed,2024-11-06T15:17:50.240866Z,Lamprey,85,1,night,train
