id,name,status,updated_date,species,frames_with_fish,number_of_tracks,time_of_day,train_set
780047,Coonamassett_2024-05-13_20-34-29_087.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,29,1,night,train
780048,Coonamassett_2024-05-13_20-43-57_371.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,17,1,night,train
780193,Coonamassett_2024-04-25_10-04-31_658.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,70,2,day,train
780251,Coonamassett_2024-04-25_13-08-54_785.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,89,2,day,train
780252,Coonamassett_2024-04-25_13-09-31_785.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,9,1,day,train
782560,Coonamassett_2024-04-26_12-52-36_238.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,134,3,day,train
782562,Coonamassett_2024-04-26_12-56-20_962.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,121,8,day,train
782908,Coonamassett_2024-04-29_15-47-24_477.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,66,1,day,train
782926,Coonamassett_2024-04-30_10-57-47_657.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,28,1,day,train
787114,Coonamassett_2024-05-02_20-46-15_987.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,14,1,night,train
787120,Coonamassett_2024-05-02_20-58-37_064.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,19,2,night,train
788965,Coonamassett_2024-05-07_05-14-34_202.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,102,1,night,val
789621,Coonamassett_2024-06-05_09-42-56_557.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,4,1,day,train
789622,Coonamassett_2024-06-05_09-37-58_601.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,12,1,day,train
789693,Coonamassett_2024-06-05_04-23-23_682.mp4,completed,2024-11-06T15:17:50.240866Z,Unknown Fish,8,1,night,train
789697,Coonamassett_2024-06-05_04-27-35_995.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,23,2,night,train
791110,Coonamassett_2024-05-08_00-03-11_812.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,78,2,night,train
791112,Coonamassett_2024-05-08_00-29-54_722.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,42,1,night,train
791217,Coonamassett_2024-05-06_09-02-05_511.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,121,34,day,train
791292,Coonamassett_2024-05-07_09-05-52_996.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,135,40,day,train
791586,Coonamassett_2024-06-05_00-16-02_635.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,27,1,night,train
791605,Coonamassett_2024-06-05_02-34-51_676.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,15,1,night,train
791628,Coonamassett_2024-06-05_04-44-56_609.mp4,completed,2024-11-06T15:17:50.240866Z,"Unknown Fish, River Herring",23,4,night,train
791629,Coonamassett_2024-06-05_04-21-13_622.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,8,1,night,train
791632,Coonamassett_2024-06-05_04-32-37_088.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,9,1,night,test
797246,Coonamassett_2024-05-07_17-58-50_610.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,34,3,day,test
797247,Coonamassett_2024-05-07_17-04-39_749.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,65,3,day,test
797248,Coonamassett_2024-05-07_17-42-40_925.mp4,completed,2024-11-06T15:17:50.240866Z,"Eel, River Herring",70,3,day,train
797257,Coonamassett_2024-05-07_20-22-36_106.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,17,2,night,train
797258,Coonamassett_2024-05-07_20-34-59_533.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,7,1,night,train
797259,Coonamassett_2024-05-07_20-41-20_391.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,34,1,night,train
797260,Coonamassett_2024-05-07_20-42-54_371.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,6,1,night,train
797261,Coonamassett_2024-05-07_20-57-52_785.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,14,1,night,test
797343,Coonamassett_2024-05-08_05-28-51_654.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,7,1,night,train
797344,Coonamassett_2024-05-08_05-35-38_070.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,9,1,dawn,train
797353,Coonamassett_2024-05-09_04-12-18_684.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,17,1,night,train
797354,Coonamassett_2024-05-09_04-16-15_101.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,29,2,night,train
797357,Coonamassett_2024-05-09_04-23-40_969.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,29,1,night,train
797358,Coonamassett_2024-05-09_04-38-00_333.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,23,1,night,train
797359,Coonamassett_2024-05-09_04-49-43_977.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,16,2,night,train
797363,Coonamassett_2024-05-09_06-18-50_578.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,7,1,day,train
797364,Coonamassett_2024-05-09_06-23-27_843.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,14,2,day,train
797365,Coonamassett_2024-05-09_06-28-13_184.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,33,1,day,train
797382,Coonamassett_2024-05-12_07-58-28_289.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,20,1,day,train
797403,Coonamassett_2024-05-12_10-23-29_018.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,22,1,day,train
797408,Coonamassett_2024-05-12_07-58-27_889.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,20,1,day,train
797438,Coonamassett_2024-05-15_13-23-11_759.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,7,1,day,train
805002,Coonamassett_2024-05-16_13-03-30_551.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,40,1,day,train
805006,Coonamassett_2024-05-04_05-11-52_669.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,51,2,night,train
805007,Coonamassett_2024-05-04_05-08-19_317.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,56,3,night,test
805008,Coonamassett_2024-05-04_05-08-27_993.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,21,1,night,test
805009,Coonamassett_2024-05-04_05-09-20_847.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,56,2,night,test
805047,Coonamassett_2024-05-05_04-00-32_278.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,46,4,night,train
805049,Coonamassett_2024-05-05_04-04-48_740.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,61,1,night,train
805051,Coonamassett_2024-05-05_04-06-51_399.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,49,3,night,train
805052,Coonamassett_2024-05-05_04-34-08_671.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,60,5,night,train
805054,Coonamassett_2024-05-05_04-43-11_625.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,9,1,night,test
805089,Coonamassett_2024-05-10_04-35-04_293.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,42,1,night,train
806322,Coonamassett_2024-05-08_05-03-38_256.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,24,1,night,train
806323,Coonamassett_2024-05-08_05-03-41_259.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,21,2,night,test
806324,Coonamassett_2024-05-08_05-28-51_587.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,7,1,night,train
806325,Coonamassett_2024-05-08_05-35-38_003.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,9,1,dawn,train
806347,Coonamassett_2024-05-24_21-04-09_308.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,70,4,night,train
806348,Coonamassett_2024-05-24_21-05-55_748.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,21,2,night,train
806350,Coonamassett_2024-05-24_21-14-12_050.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,53,3,night,train
806351,Coonamassett_2024-05-24_21-25-21_993.mp4,completed,2024-11-06T15:17:50.240866Z,"Unknown Fish, River Herring",11,2,night,train
806352,Coonamassett_2024-05-24_21-32-56_318.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,43,1,night,train
806353,Coonamassett_2024-05-24_21-38-30_656.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,20,2,night,test
806354,Coonamassett_2024-05-24_21-41-01_475.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,20,2,night,train
806355,Coonamassett_2024-05-24_21-45-50_100.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,97,1,night,val
806356,Coonamassett_2024-05-24_21-52-37_644.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,62,1,night,train
806403,Coonamassett_2024-05-24_20-53-09_775.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,37,3,night,train
806404,Coonamassett_2024-05-24_20-08-03_642.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,6,1,night,train
806405,Coonamassett_2024-05-24_20-12-04_546.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,8,1,night,train
806406,Coonamassett_2024-05-24_20-13-14_882.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,23,3,night,train
806407,Coonamassett_2024-05-24_20-21-40_647.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,21,3,night,train
806408,Coonamassett_2024-05-24_20-23-03_529.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,26,3,night,train
806409,Coonamassett_2024-05-24_20-30-29_234.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,31,4,night,train
806410,Coonamassett_2024-05-24_20-35-06_841.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,27,4,night,train
806412,Coonamassett_2024-05-24_20-35-49_417.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,10,2,night,train
806413,Coonamassett_2024-05-24_20-40-20_150.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,35,3,night,test
806414,Coonamassett_2024-05-24_20-42-07_389.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,21,2,night,train
806420,Coonamassett_2024-05-24_16-45-13_139.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,81,2,day,train
806421,Coonamassett_2024-05-24_16-04-53_622.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,19,1,day,train
806423,Coonamassett_2024-05-24_16-24-49_133.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,24,2,day,train
806424,Coonamassett_2024-05-24_16-33-42_125.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,27,3,day,train
806425,Coonamassett_2024-05-24_16-37-50_369.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,11,1,day,train
806426,Coonamassett_2024-05-24_16-38-10_856.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,76,8,day,val
806427,Coonamassett_2024-05-24_16-38-20_799.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,33,6,day,val
806459,Coonamassett_2024-05-24_12-44-10_741.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,27,7,day,train
806460,Coonamassett_2024-05-24_12-04-44_831.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,69,2,day,val
806461,Coonamassett_2024-05-24_12-05-07_453.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,94,4,day,train
806463,Coonamassett_2024-05-24_12-36-11_740.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,87,3,day,test
806464,Coonamassett_2024-05-24_12-40-24_720.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,72,3,day,train
806473,Coonamassett_2024-05-23_17-55-01_830.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,16,2,day,train
806474,Coonamassett_2024-05-23_17-21-00_990.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,17,2,day,train
806475,Coonamassett_2024-05-23_17-23-31_941.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,23,3,day,train
806476,Coonamassett_2024-05-23_17-31-40_696.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,11,2,day,test
806478,Coonamassett_2024-05-23_17-35-35_664.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,28,3,day,train
806479,Coonamassett_2024-05-23_17-42-50_833.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,6,1,day,train
806480,Coonamassett_2024-05-23_17-45-13_776.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,14,2,day,train
806481,Coonamassett_2024-05-23_17-49-11_080.mp4,completed,2024-11-06T15:17:50.240866Z,"Eel, River Herring",73,8,day,train
806482,Coonamassett_2024-05-23_17-53-10_052.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,78,11,day,val
806483,Coonamassett_2024-05-23_17-54-21_990.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,57,10,day,train
806484,Coonamassett_2024-05-23_17-54-30_065.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,35,6,day,train
806521,Coonamassett_2024-05-23_21-58-18_307.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,44,2,night,train
806522,Coonamassett_2024-05-23_21-01-49_097.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,6,1,night,train
806523,Coonamassett_2024-05-23_21-02-43_017.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,9,1,night,train
806524,Coonamassett_2024-05-23_21-04-11_304.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,30,2,night,train
806525,Coonamassett_2024-05-23_21-15-52_129.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,78,3,night,val
806526,Coonamassett_2024-05-23_21-18-21_810.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,14,1,night,train
806527,Coonamassett_2024-05-23_21-26-10_739.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,57,1,night,train
806529,Coonamassett_2024-05-23_21-29-56_094.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,66,3,night,val
806531,Coonamassett_2024-05-23_21-33-42_451.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,30,3,night,train
806556,Coonamassett_2024-05-23_19-55-55_240.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,32,2,night,train
806557,Coonamassett_2024-05-23_19-01-57_750.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,60,12,day,train
806558,Coonamassett_2024-05-23_19-05-42_035.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,89,14,day,train
806559,Coonamassett_2024-05-23_19-13-09_405.mp4,completed,2024-11-06T15:17:50.240866Z,"Unknown Fish, River Herring",68,13,day,train
806560,Coonamassett_2024-05-23_19-16-18_856.mp4,completed,2024-11-06T15:17:50.240866Z,"Unknown Fish, River Herring",94,16,day,train
806561,Coonamassett_2024-05-23_19-22-27_216.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,34,6,day,train
806562,Coonamassett_2024-05-23_19-22-58_646.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,111,10,day,train
806563,Coonamassett_2024-05-23_19-45-51_318.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,57,7,night,train
806565,Coonamassett_2024-05-23_19-49-31_066.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,22,5,night,train
806566,Coonamassett_2024-05-23_19-51-55_673.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,59,9,night,train
806567,Coonamassett_2024-05-23_19-52-15_693.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,209,18,night,test
806569,Coonamassett_2024-05-23_19-52-48_458.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,81,7,night,train
806570,Coonamassett_2024-05-23_19-53-18_154.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,112,9,night,train
806571,Coonamassett_2024-05-23_19-55-36_088.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,87,5,night,train
806580,Coonamassett_2024-05-22_19-53-52_568.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,36,4,night,train
806581,Coonamassett_2024-05-22_19-32-20_041.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,8,1,day,train
806582,Coonamassett_2024-05-22_19-43-38_769.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,15,2,night,test
806594,Coonamassett_2024-05-22_17-57-18_061.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,10,1,day,train
806595,Coonamassett_2024-05-22_17-37-22_568.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,14,1,day,val
806596,Coonamassett_2024-05-22_17-44-59_411.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,10,1,day,train
806598,Coonamassett_2024-05-22_17-47-06_868.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,14,2,day,train
806600,Coonamassett_2024-05-22_17-51-31_458.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,10,1,day,train
806601,Coonamassett_2024-05-22_17-55-00_060.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,16,2,day,train
806604,Coonamassett_2024-05-22_17-57-09_986.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,6,1,day,train
806609,Coonamassett_2024-05-22_13-56-23_218.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,27,2,day,train
806611,Coonamassett_2024-05-22_13-44-23_432.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,20,2,day,train
806612,Coonamassett_2024-05-22_13-48-10_192.mp4,completed,2024-11-06T15:17:50.240866Z,"Eel, River Herring",31,3,day,train
806613,Coonamassett_2024-05-22_13-49-03_245.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,8,1,day,val
806641,Coonamassett_2024-05-22_07-04-56_265.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,95,28,day,train
806642,Coonamassett_2024-05-22_07-05-17_085.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,16,1,day,train
806643,Coonamassett_2024-05-22_07-16-23_330.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,59,16,day,test
806644,Coonamassett_2024-05-22_07-18-12_035.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,59,14,day,train
806645,Coonamassett_2024-05-22_07-18-30_386.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,110,22,day,train
806647,Coonamassett_2024-05-22_07-27-34_178.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,13,1,day,train
806649,Coonamassett_2024-05-22_07-27-45_323.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,14,1,day,train
806656,Coonamassett_2024-05-22_00-00-49_020.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,7,1,night,train
806657,Coonamassett_2024-05-22_00-06-57_646.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,7,1,night,train
806658,Coonamassett_2024-05-22_00-15-24_006.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,6,1,night,train
806659,Coonamassett_2024-05-22_00-18-33_591.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,13,2,night,train
806660,Coonamassett_2024-05-22_00-29-15_883.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,14,1,night,train
806661,Coonamassett_2024-05-22_00-40-29_539.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,6,1,night,train
806662,Coonamassett_2024-05-22_00-42-31_391.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,7,1,night,train
806663,Coonamassett_2024-05-22_00-50-49_410.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,5,1,night,train
806867,Coonamassett_2024-05-21_05-20-56_084.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,32,2,dawn,train
806868,Coonamassett_2024-05-21_06-05-26_012.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,55,5,day,test
806869,Coonamassett_2024-05-21_06-05-34_086.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,72,12,day,test
806871,Coonamassett_2024-05-21_06-07-20_792.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,14,2,day,train
806873,Coonamassett_2024-05-21_06-18-00_224.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,108,22,day,val
806875,Coonamassett_2024-05-21_06-18-27_317.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,121,55,day,train
806881,Coonamassett_2024-05-21_19-40-53_463.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,21,3,night,train
806882,Coonamassett_2024-05-21_19-49-50_797.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,7,1,night,train
806903,Coonamassett_2024-05-22_04-43-14_286.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,23,3,night,train
806904,Coonamassett_2024-05-22_04-50-23_638.mp4,completed,2024-11-06T15:17:50.240866Z,River Herring,23,1,night,val
